,date,open,high,low,close,volume,symbol
662,2020-05-18 00:00:00,9681.11,9950.0,9464.23,9733.93,82006.603583,ETH
661,2020-05-19 00:00:00,9733.93,9897.21,9474.0,9775.53,78539.760454,ETH
660,2020-05-20 00:00:00,9775.13,9842.0,9326.0,9511.43,74923.73809,ETH
659,2020-05-21 00:00:00,9511.43,9578.47,8815.0,9068.65,108928.780969,ETH
658,2020-05-22 00:00:00,9067.51,9271.0,8933.52,9170.0,58943.131024,ETH
657,2020-05-23 00:00:00,9170.0,9307.85,9070.0,9179.15,43526.296966,ETH
656,2020-05-24 00:00:00,9179.01,9298.0,8700.0,8720.34,70379.86645,ETH
655,2020-05-25 00:00:00,8718.14,8979.66,8642.72,8900.35,62833.910949,ETH
654,2020-05-26 00:00:00,8900.35,9017.67,8700.0,8841.18,58299.770138,ETH
653,2020-05-27 00:00:00,8841.0,9225.0,8811.73,9204.07,68910.355514,ETH
652,2020-05-28 00:00:00,9204.07,9625.47,9110.0,9575.89,74110.787662,ETH
651,2020-05-29 00:00:00,9575.87,9605.26,9330.0,9427.07,57374.362961,ETH
650,2020-05-30 00:00:00,9426.6,9740.0,9331.23,9697.72,55665.27254,ETH
649,2020-05-31 00:00:00,9697.72,9700.0,9381.41,9448.27,48333.786403,ETH
648,2020-06-01 00:00:00,9448.27,10380.0,9421.67,10200.77,76649.12696000001,ETH
647,2020-06-02 00:00:00,10202.71,10228.99,9266.0,9518.04,108970.773151,ETH
646,2020-06-03 00:00:00,9518.02,9690.0,9365.21,9666.24,46252.644939,ETH
645,2020-06-04 00:00:00,9666.32,9881.63,9450.0,9789.06,57456.10096900001,ETH
644,2020-06-05 00:00:00,9788.14,9854.75,9581.0,9621.16,47788.05005,ETH
643,2020-06-06 00:00:00,9621.17,9735.0,9531.05,9666.3,32752.950893,ETH
642,2020-06-07 00:00:00,9666.85,9802.0,9372.46,9746.99,57952.848385000005,ETH
641,2020-06-08 00:00:00,9746.99,9800.0,9633.0,9782.01,40664.664125,ETH
640,2020-06-09 00:00:00,9782.0,9877.0,9570.0,9772.43,46024.001289,ETH
639,2020-06-10 00:00:00,9772.44,9992.72,9704.18,9885.0,47130.762982,ETH
638,2020-06-11 00:00:00,9885.22,9964.0,9113.0,9280.4,94418.98473,ETH
637,2020-06-12 00:00:00,9278.88,9557.12,9232.51,9465.13,50119.066932,ETH
636,2020-06-13 00:00:00,9464.96,9494.73,9351.0,9473.34,27759.784851,ETH
635,2020-06-14 00:00:00,9473.34,9480.99,9245.0,9342.1,30055.506608,ETH
