date,funding_rate,predicted_funding_rate,open_interest,last_price,index_price,mark_price,amount_buy,amount_sell,symbol,open,high,low,close,volume,turnover
1642064100,-5E-05,-2.80909090909091E-06,901644977.562121,43841.9681818182,43869.9932272727,43868.0233181818,750831,807234,BTCUSD,43836.5,43887,43836,43886.5,2406462,54.85981525
1642064400,-5E-05,-1.51886024423338E-05,902139933.845319,43871.7035278155,43898.6233514247,43896.7517096337,2250868,1444305,BTCUSD,43886.5,43887,43824.5,43824.5,3626940,82.68587397
1642064700,-5E-05,-2.80944625407166E-06,903225681.374593,43831.1359934853,43841.1446091205,43839.4737296417,62643,3667758,BTCUSD,43824.5,43825,43801,43801,2185579,49.89031699
1642065000,-5E-05,9.18550724637681E-06,904460387.397101,43795.934057971,43816.6675797101,43814.8043043478,221443,1893535,BTCUSD,43801,43801.5,43765.5,43793,2751877,62.85707768
1642065300,-5E-05,3.47368421052632E-06,904528163.409539,43786.0386513158,43813.9866611842,43812.1767105263,1110716,1097036,BTCUSD,43793,43793.5,43766.5,43766.5,1392072,31.79748339
1642065600,-5E-05,6.42596810933941E-06,904340730.558087,43766.7038724374,43787.3391116173,43785.3901138952,100458,560023,BTCUSD,43766.5,43767,43766.5,43766.5,953152,21.77809738
1642065900,-5E-05,7.96850393700788E-07,904221976.579528,43784.0968503937,43821.6250551181,43819.1830393701,4063682,552689,BTCUSD,43766.5,43940.5,43766.5,43918,8384664,191.184221
1642066200,-5E-05,-5.89806320081549E-06,905043586.089704,43938.2059123344,43956.3876860347,43954.2656880734,7150072,2537887,BTCUSD,43918,43996.5,43918,43965,6920785,157.43822734
1642066500,-5E-05,7.14095744680851E-07,907035226.059841,43940.1775265957,43960.7226595745,43959.2099202128,824186,2354233,BTCUSD,43965,43965,43882,43882,1898642,43.24190129
1642066800,-5E-05,7.53228120516499E-07,906904293.703013,43861.4110473458,43885.2368579627,43883.8120229555,634150,1539683,BTCUSD,43882,43882.5,43780,43780.5,4073823,92.96983245
1642067100,-5E-05,-1.36083916083916E-06,906681133.559441,43795.8881118881,43817.2950909091,43815.5242237762,1859905,1924038,BTCUSD,43780.5,43810,43778,43782,3014234,68.82465693
1642067400,-5E-05,-2.32640949554896E-06,907018332.667656,43785.7366468843,43816.1629228487,43814.527462908,1600964,2235564,BTCUSD,43782,43856,43738,43856,3939954,89.97607042
1642067700,-5E-05,-4.95486111111111E-06,906938971.532986,43840.7048611111,43865.42296875,43863.4796701389,1774093,115562,BTCUSD,43856,43859,43855,43858.5,914323,20.84838138
1642068000,-5E-05,-4.86865148861646E-06,907411080.227671,43864.3651488616,43893.0183012259,43891.285323993,899507,391125,BTCUSD,43858.5,43905.5,43858.5,43905,1614481,36.78552758
1642068300,-5E-05,-1.20536912751678E-05,907303271.950336,43920.3429530201,43959.8863758389,43958.1104697987,2555241,192444,BTCUSD,43905,44035.5,43905,43951,9463253,215.1541276
1642068600,-5E-05,-1.38515789473684E-05,907967233.63579,43951.4126315789,43982.6456947369,43981.1253789474,4586971,4938827,BTCUSD,43951,43979,43911,43979,3639655,82.81510068
1642068900,-5E-05,-1.75433186490455E-05,907895929.23348,43980.6923641703,44008.0055506608,44006.3078414097,2268326,1959756,BTCUSD,43979,44013.5,43960,43967,3999346,90.9302969
1642069200,-5E-05,-1.92176165803109E-05,908477051.651554,43966.8432642487,43997.3999481865,43995.9808549223,437209,1860597,BTCUSD,43967,43967,43900,43900.5,2823061,64.25535135
1642069500,-5E-05,-2.23234323432343E-05,907281740.376238,43919.3597359736,43951.2971452145,43949.7530693069,446916,1993358,BTCUSD,43900.5,43918,43890,43890,1066838,24.29790245
1642069800,-5E-05,-2.89937965260546E-05,907136077.39206,43875.935483871,43903.1186352357,43901.7273449132,725055,1588756,BTCUSD,43890,43949,43850,43942.5,2996879,68.28969993
1642070100,-5E-05,-3.34823889739663E-05,907676466.954058,43914.2189892802,43942.6157427259,43940.856431853,1417227,581266,BTCUSD,43942.5,43942.5,43936.5,43937,1274517,29.00604717
1642070400,-5E-05,-3.2038240917782E-05,907364476.378585,43915.4627151052,43940.4059464627,43939.1517208413,528374,931972,BTCUSD,43937,43937,43865,43865.5,1273048,29.00469468
1642070700,-5E-05,-3.70061099796334E-05,907964254.405295,43867.1344195519,43898.8318329939,43897.3897352342,1319083,393117,BTCUSD,43865.5,43865.5,43865,43865.5,1575597,35.91887732
1642071000,-5E-05,-4.1621978021978E-05,908737982.665934,43865.1285714286,43894.4878901099,43893.1907032967,257730,680387,BTCUSD,43865.5,43865.5,43829,43834.5,2280830,52.01808051
1642071300,-5E-05,-4.03333333333333E-05,908592529.828661,43828.3489096573,43844.795576324,43843.8054361371,870933,3646798,BTCUSD,43834.5,43834.5,43790,43791.5,4843020,110.54426974
1642071600,-5E-05,-3.42457865168539E-05,909641940.990169,43802.0386235955,43819.2277808989,43817.7223033708,1411047,2185006,BTCUSD,43791.5,43816,43755.5,43756,3023485,69.05443932
1642071900,-5E-05,-3.18068027210884E-05,910258761.882993,43761.5156462585,43778.0643673469,43776.7878231293,214116,1821417,BTCUSD,43756,43756,43743,43743,1296087,29.62463654
1642072200,-5E-05,-2.49238845144357E-05,909466320.667979,43725.3195538058,43736.1418897638,43734.905183727,943262,5765818,BTCUSD,43743,43743.5,43656.5,43660,8867458,202.96170203
1642072500,-5E-05,-2.07569593147752E-05,907696308.85439,43659.4641327623,43676.1731263383,43674.9853747323,1791481,3444180,BTCUSD,43660,43682,43630.5,43677,6045216,138.51129013
1642072800,-5E-05,-1.71820580474934E-05,908111149.218997,43677.5751978892,43687.3402506596,43685.9981926121,5020151,2263336,BTCUSD,43677,43715.5,43644.5,43644.5,4788474,109.58236919
1642073100,-5E-05,-6.44267515923567E-06,908358430.320594,43624.9681528662,43625.8201380042,43624.8690764331,2584471,5762566,BTCUSD,43644.5,43645,43530,43635.5,8249432,189.2778191
1642073400,-5E-05,4.82487922705314E-06,909750708.295894,43646.5332125604,43649.4597342995,43648.1655072464,3216089,590472,BTCUSD,43635.5,43699,43635,43688,3553380,81.37017977
1642073700,-5E-05,1.55839017735334E-05,911119475.777626,43687.326739427,43690.6038199182,43689.3634106412,1050293,449026,BTCUSD,43688,43709.5,43687.5,43709.5,1621934,37.11207975
1642074000,-5E-05,2.37855973813421E-05,911262410.772504,43710.6399345336,43719.0958756138,43717.8531587561,1358037,447584,BTCUSD,43709.5,43714,43709.5,43714,1027503,23.50634236
1642074300,-5E-05,3.24442413162706E-05,911926303.35649,43685.6307129799,43692.2704570384,43691.5364533821,100126,1987482,BTCUSD,43714,43714,43615,43673.5,3387211,77.58301747
1642074600,-5E-05,3.73596730245232E-05,912335952.197548,43659.5435967303,43666.3095231608,43665.0843188011,1571976,317212,BTCUSD,43673.5,43691.5,43651.5,43651.5,1339455,30.67459148
1642074900,-5E-05,4.6268085106383E-05,913055010.787234,43649.5212765958,43653.2000425532,43652.0547659574,270488,1602553,BTCUSD,43651.5,43652,43642,43642.5,1335849,30.60533036
1642075200,-5E-05,5.35871670702179E-05,913873224.162228,43649.4515738499,43662.1941283293,43661.0055932203,2644073,1047136,BTCUSD,43642.5,43675.5,43593.5,43659.5,3895187,89.24608348
1642075500,-5E-05,5.37410358565737E-05,912999466.488712,43677.6719787517,43709.9264807437,43708.6040239044,4618027,246517,BTCUSD,43659.5,43770,43659.5,43740,9868864,225.73909583
1642075800,-5E-05,4.61129568106312E-05,910847464.801772,43749.7009966777,43788.8906866002,43787.679324474,5028604,1466712,BTCUSD,43740,43778,43730.5,43778,1317045,30.09829263
1642076100,-5E-05,4.07693430656934E-05,911792732.732847,43766.3313868613,43795.8498248175,43795.1665547445,385524,1461528,BTCUSD,43778,43778,43702,43702.5,2201120,50.33053846
1642076400,-5E-05,3.8887537993921E-05,911522704.556231,43700.3100303951,43723.5225227964,43722.6195744681,202873,1629515,BTCUSD,43702.5,43702.5,43684.5,43702.5,2147970,49.16315749
